state.nr;state.code;state;year;division;division_name;region;region_name;include
1;AL;Alabama;1980;6;East South Central;3;South;1
1;AL;Alabama;1990;6;East South Central;3;South;1
1;AL;Alabama;2000;6;East South Central;3;South;1
2;AK;Alaska;1980;9;Pacific;4;West;0
2;AK;Alaska;1990;9;Pacific;4;West;0
2;AK;Alaska;2000;9;Pacific;4;West;0
3;AZ;Arizona;1980;8;Mountain;4;West;0
3;AZ;Arizona;1990;8;Mountain;4;West;0
3;AZ;Arizona;2000;8;Mountain;4;West;0
4;AR;Arkansas;1980;7;West South Central;3;South;1
4;AR;Arkansas;1990;7;West South Central;3;South;1
4;AR;Arkansas;2000;7;West South Central;3;South;1
5;CA;California;1980;9;Pacific;4;West;1
5;CA;California;1990;9;Pacific;4;West;1
5;CA;California;2000;9;Pacific;4;West;1
6;CO;Colorado;1980;8;Mountain;4;West;1
6;CO;Colorado;1990;8;Mountain;4;West;1
6;CO;Colorado;2000;8;Mountain;4;West;1
7;CT;Connecticut;1980;1;New England;1;Northeast;1
7;CT;Connecticut;1990;1;New England;1;Northeast;1
7;CT;Connecticut;2000;1;New England;1;Northeast;1
8;DE;Delaware;1980;5;South Atlantic;3;South;1
8;DE;Delaware;1990;5;South Atlantic;3;South;1
8;DE;Delaware;2000;5;South Atlantic;3;South;1
9;DC;District of Columbia;1980;5;South Atlantic;3;South;0
9;DC;District of Columbia;1990;5;South Atlantic;3;South;0
9;DC;District of Columbia;2000;5;South Atlantic;3;South;0
10;FL;Florida;1980;5;South Atlantic;3;South;1
10;FL;Florida;1990;5;South Atlantic;3;South;1
10;FL;Florida;2000;5;South Atlantic;3;South;1
11;GA;Georgia;1980;5;South Atlantic;3;South;1
11;GA;Georgia;1990;5;South Atlantic;3;South;1
11;GA;Georgia;2000;5;South Atlantic;3;South;1
12;HI;Hawaii;1980;9;Pacific;4;West;0
12;HI;Hawaii;1990;9;Pacific;4;West;0
12;HI;Hawaii;2000;9;Pacific;4;West;0
13;ID;Idaho;1980;8;Mountain;4;West;0
13;ID;Idaho;1990;8;Mountain;4;West;0
13;ID;Idaho;2000;8;Mountain;4;West;0
14;IL;Illinois;1980;3;East North Central;2;Midwest;1
14;IL;Illinois;1990;3;East North Central;2;Midwest;1
14;IL;Illinois;2000;3;East North Central;2;Midwest;1
15;IN;Indiana;1980;3;East North Central;2;Midwest;1
15;IN;Indiana;1990;3;East North Central;2;Midwest;1
15;IN;Indiana;2000;3;East North Central;2;Midwest;1
16;IA;Iowa;1980;4;West North Central;2;Midwest;0
16;IA;Iowa;1990;4;West North Central;2;Midwest;0
16;IA;Iowa;2000;4;West North Central;2;Midwest;0
17;KS;Kansas;1980;4;West North Central;2;Midwest;1
17;KS;Kansas;1990;4;West North Central;2;Midwest;1
17;KS;Kansas;2000;4;West North Central;2;Midwest;1
18;KY;Kentucky;1980;6;East South Central;3;South;1
18;KY;Kentucky;1990;6;East South Central;3;South;1
18;KY;Kentucky;2000;6;East South Central;3;South;1
19;LA;Louisiana;1980;7;West South Central;3;South;1
19;LA;Louisiana;1990;7;West South Central;3;South;1
19;LA;Louisiana;2000;7;West South Central;3;South;1
20;ME;Maine;1980;1;New England;1;Northeast;0
20;ME;Maine;1990;1;New England;1;Northeast;0
20;ME;Maine;2000;1;New England;1;Northeast;0
21;MD;Maryland;1980;5;South Atlantic;3;South;1
21;MD;Maryland;1990;5;South Atlantic;3;South;1
21;MD;Maryland;2000;5;South Atlantic;3;South;1
22;MA;Massachusetts;1980;1;New England;1;Northeast;1
22;MA;Massachusetts;1990;1;New England;1;Northeast;1
